@relation COVID-19 Estimated ICU Beds Occupied by State Timeseries
@attribute ICU_Beds_Occupied_Estimated numeric
@attribute ICU_Beds_Occupied_Total numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50}

@data
66,134,0
52,127,50
427,609,49
748,1231,47
66,97,46
1159,1874,45
374,616,44
5287,6369,43
1577,2337,42
117,226,41
734,1120,40
109,136,39
2649,3577,38
463,784,37
708,959,36
2413,4071,35
3131,5194,34
580,869,33
296,385,32
1097,2916,31
165,282,30
338,562,29
112,195,28
1769,2331,27
121,219,26
556,817,25
1314,1675,24
817,1584,48
1000,2113,3
1066,1759,18
579,843,23
1652,2389,22
226,319,21
797,1226,20
924,1341,19
1049,1763,17
591,804,16
1389,2227,15
180,290,13
412,660,12
1893,3312,14
1914,2665,10
4587,6351,9
142,182,8
243,318,7
484,1030,6
843,1242,5
4450,6672,4
693,995,2
1247,1590,1
113,215,11
570,791,37
3170,5182,34
2652,4079,35
750,982,36
2680,3516,38
255,318,7
761,1120,40
113,223,41
1672,2342,42
5243,6072,43
623,872,33
113,138,39
315,400,32
1296,1591,1
175,282,30
360,566,29
110,193,28
1821,2337,27
132,219,26
590,825,25
1376,1692,24
1058,2122,3
716,1000,2
406,619,44
92,134,0
1172,2914,31
1227,1873,45
70,97,46
940,1254,47
871,1242,5
866,1599,48
622,858,23
1746,2411,22
241,320,21
842,1267,20
979,1339,19
1092,1740,18
4672,6751,4
513,1030,6
1088,1761,17
1491,2224,15
2017,3313,14
194,300,13
451,660,12
123,215,11
2004,2674,10
4825,6354,9
147,182,8
54,127,50
460,609,49
623,805,16
868,1599,48
51,127,50
452,609,49
418,616,44
1264,1875,45
1076,2128,3
1408,1684,24
594,831,25
145,220,26
1839,2349,27
111,199,28
355,567,29
178,282,30
1198,2922,31
989,1316,47
303,390,32
2704,4070,35
750,966,36
573,809,37
2808,3682,38
171,157,39
756,1119,40
103,217,41
1664,2345,42
5274,6157,43
3223,5193,34
613,872,33
63,97,46
1086,1753,18
892,1241,5
528,1030,6
265,321,7
145,182,8
4915,6370,9
652,866,23
1833,2453,22
4674,6726,4
244,320,21
996,1341,19
2073,2676,10
1076,1761,17
619,805,16
1519,2234,15
2038,3299,14
208,294,13
836,1236,20
433,658,12
128,218,11
87,132,0
1306,1579,1
713,1005,2
1069,2130,3
755,1124,40
118,145,39
2810,3685,38
549,800,37
723,961,36
2634,4061,35
3253,5204,34
608,864,33
319,401,32
1163,2922,31
182,282,30
360,565,29
114,199,28
135,220,26
584,818,25
1430,1682,24
1772,2370,27
85,130,0
670,865,23
1798,2436,22
237,316,21
859,1256,20
978,1343,19
1095,1746,18
1060,1761,17
617,816,16
1447,2186,15
2025,3316,14
112,221,41
216,296,13
127,215,11
2043,2666,10
4933,6381,9
146,182,8
258,316,7
523,1030,6
878,1243,5
4714,6735,4
693,993,2
1296,1580,1
413,663,12
5197,6095,43
1639,2352,42
1282,1862,45
68,97,46
981,1286,47
456,608,49
56,127,50
420,618,44
863,1570,48
1464,2245,15
