@relation Incomes_vs_ChildrenPerWomen_gapminder
@attribute children_per_women numeric
@attribute GDP_per_capita numeric
@attribute class {0,1}

@data
5.1,2360,1
4.85,3220,1
6.26,1200,0
4.14,2640,1
5.4,2180,1
6.99,925,0
6.06,1320,0
5.13,2040,1
7.17,868,0
4.41,2480,1
5.95,1440,0
7.08,1220,0
5.47,3340,1
6.91,894,0
6.55,1150,0
6.59,1300,0
6.82,1470,0
6.47,2120,0
5.1,2360,1
4.85,3230,1
6.26,1200,0
4.14,2650,1
5.4,2180,1
6.99,926,0
6.06,1320,0
5.13,2050,1
7.17,868,0
4.36,2490,1
5.95,1430,0
7.08,1220,0
5.47,3290,1
6.91,894,0
6.55,1150,0
6.59,1300,0
6.82,1390,0
6.47,2100,0
5.1,2370,1
4.84,3230,1
6.26,1200,0
4.14,2660,1
5.39,2180,1
6.99,927,0
6.06,1320,0
5.13,2060,1
7.17,868,0
4.31,2490,1
5.95,1430,0
7.08,1220,0
5.47,3400,1
6.91,894,0
6.55,1150,0
6.59,1300,0
6.82,1390,0
6.47,2070,0
5.1,2380,1
4.84,3230,1
6.26,1200,0
4.14,2680,1
5.39,2180,1
6.99,929,0
6.06,1320,0
5.13,2060,1
7.17,868,0
4.26,2490,1
5.95,1420,0
7.08,1220,0
5.47,3500,1
6.91,894,0
6.55,1150,0
6.59,1300,0
6.82,1370,0
6.47,2050,0
5.1,2390,1
4.83,3240,1
6.26,1200,0
4.14,2690,1
5.38,2180,1
6.99,930,0
6.06,1320,0
5.13,2070,1
7.17,868,0
4.21,2490,1
5.95,1410,0
7.08,1220,0
5.47,3650,1
6.91,894,0
6.55,1150,0
6.59,1300,0
6.82,1360,0
6.47,2030,0
5.1,2400,1
4.83,3240,1
6.26,1200,0
4.14,2700,1
5.38,2180,1
6.99,931,0
6.06,1320,0
5.13,2080,1
7.17,868,0
4.16,2490,1
5.95,1410,0
7.08,1220,0
5.47,3530,1
6.91,894,0
6.55,1150,0
6.59,1300,0
6.82,1400,0
6.47,1920,0
5.1,2410,1
4.82,3250,1
6.26,1200,0
4.14,2720,1
5.37,2180,1
6.99,933,0
6.06,1320,0
5.13,2090,1
7.17,868,0
4.1,2490,1
5.95,1400,0
7.08,1220,0
5.47,3610,1
6.91,894,0
6.55,1150,0
6.59,1300,0
6.82,1440,0
6.47,1920,0
5.1,2420,1
4.82,3250,1
6.26,1200,0
4.14,2730,1
5.37,2180,1
6.99,934,0
6.06,1320,0
5.13,2090,1
7.17,868,0
4.05,2490,1
5.95,1390,0
7.08,1220,0
5.47,3620,1
6.91,894,0
6.55,1150,0
6.59,1300,0
6.82,1460,0
6.47,2080,0
5.1,2430,1
4.82,3250,1
6.26,1200,0
4.14,2740,1
5.36,2180,1
6.99,935,0
6.06,1320,0
5.13,2100,1
7.17,868,0
4,2490,1
5.95,1380,0
7.08,1220,0
5.47,3830,1
6.91,894,0
6.55,1150,0
6.59,1300,0
6.82,1430,0
6.47,1820,0
5.1,2440,1
4.81,3260,1
6.26,1200,0
4.14,2760,1
5.36,2180,1
6.99,936,0
6.06,1320,0
5.13,2100,1
7.17,868,0
3.95,2500,1
5.95,1380,0
7.08,1220,0
5.47,3850,1
6.91,894,0
6.55,1150,0
6.59,1300,0
6.82,1420,0
6.47,1780,0
5.1,2450,1
4.81,3260,1
6.26,1200,0
4.14,2770,1
5.35,2180,1
6.99,938,0
6.06,1330,0
5.13,2110,1
7.17,868,0
3.9,2500,1
5.95,1370,0
7.08,1220,0
5.47,3550,1
6.91,894,0
6.55,1150,0
6.59,1300,0
