@relation https://www.kaggle.com/datasets/census/retail-and-retailers-sales-time-series-collection
@attribute values numeric
@attribute class {0,1,2}

@data
1.65,1
130683,2
242006,0
1.65,1
131244,2
243508,0
1.67,1
142488,2
244490,0
147175,2
248011,0
1.68,1
248451,0
1.67,1
152420,2
250561,0
1.67,1
151849,2
255808,0
152586,2
1.7,1
152476,2
1.68,1
254217,0
148158,2
1.67,1
254826,0
155987,2
1.66,1
255151,0
154824,2
1.67,1
256549,0
191347,2
260277,0
1.67,1
261977,0
137020,2
1.66,1
264812,0
134462,2
1.69,1
268089,0
153025,2
1.73,1
268440,0
158615,2
1.69,1
163519,2
1.68,1
269177,0
1.69,1
270101,0
162964,2
1.67,1
271413,0
164590,2
1.66,1
270425,0
163989,2
1.67,1
272235,0
159298,2
273558,0
163992,2
1.66,1
169980,2
276059,0
1.66,1
206174,2
278477,0
1.66,1
277376,0
1.66,1
145276,2
1.65,1
146332,2
279423,0
1.62,1
173562,2
280320,0
1.63,1
281775,0
170795,2
286905,0
175527,2
1.66,1
291434,0
178509,2
1.67,1
291509,0
173198,2
1.67,1
296381,0
182445,2
1.67,1
300093,0
1.68,1
175128,2
1.66,1
300409,0
178642,2
1.67,1
302308,0
184272,2
1.68,1
304483,0
221549,2
1.69,1
308180,0
158004,2
310376,0
155156,2
1.73,1
181910,2
1.73,1
313061,0
176635,2
1.74,1
315718,0
190269,2
1.73,1
317587,0
191609,2
1.71,1
318321,0
182909,2
317658,0
1.71,1
320043,0
1.71,1
193370,2
320168,0
1.71,1
182521,2
1.73,1
184276,2
322429,0
193405,2
325199,0
1.72,1
227552,2
322191,0
1.69,1
167372,2
1.71,1
323183,0
1.68,1
323893,0
173941,2
1.66,1
321429,0
191851,2
1.65,1
321992,0
191886,2
1.65,1
324466,0
205797,2
1.66,1
196842,2
324831,0
197140,2
1.68,1
328889,0
204270,2
1.69,1
330734,0
189424,2
1.67,1
331602,0
201927,2
1.67,1
333928,0
1.66,1
332953,0
203621,2
333222,0
237478,2
1.66,1
332840,0
181073,2
1.64,1
335174,0
178428,2
1.64,1
333469,0
203750,2
1.63,1
199219,2
1.65,1
335254,0
1.67,1
336473,0
211516,2
1.65,1
337897,0
205491,2
1.64,1
340104,0
208856,2
1.63,1
338699,0
211952,2
341704,0
201415,2
1.64,1
210145,2
1.64,1
342191,0
207533,2
1.64,1
342204,0
249389,2
1.64,1
343814,0
187445,2
1.64,1
344034,0
183767,2
345791,0
1.65,1
348276,0
207973,2
1.65,1
349454,0
212262,2
1.64,1
345996,0
221155,2
1.61,1
346399,0
220867,2
1.6,1
217687,2
1.62,1
347939,0
1.63,1
348021,0
216605,2
1.63,1
351166,0
208915,2
1.6,1
351763,0
220499,2
1.6,1
354587,0
218969,2
356513,0
265618,2
1.6,1
196810,2
357835,0
1.6,1
199451,2
360879,0
1.6,1
365384,0
1.61,1
230230,2
1.61,1
227109,2
368213,0
1.6,1
237462,2
368974,0
1.6,1
372083,0
236830,2
372344,0
236992,2
1.59,1
373289,0
240478,2
1.58,1
375272,0
230665,2
1.58,1
374742,0
233193,2
1.58,1
379746,0
1.58,1
240857,2
1.56,1
384074,0
293013,2
1.58,1
383759,0
213709,2
1.56,1
385329,0
227087,2
1.55,1
386654,0
253717,2
388123,0
239051,2
1.58,1
257581,2
1.59,1
392519,0
255066,2
1.6,1
396765,0
244445,2
1.6,1
395542,0
257487,2
1.62,1
400656,0
1.59,1
400344,0
243624,2
402922,0
1.6,1
245167,2
405482,0
1.62,1
252145,2
1.62,1
294197,2
405955,0
226791,2
406134,0
1.61,1
223971,2
404246,0
1.6,1
253439,2
1.61,1
403708,0
1.58,1
403696,0
249062,2
1.59,1
404615,0
268658,2
1.59,1
403545,0
260315,2
1.6,1
404558,0
251504,2
1.6,1
266460,2
408172,0
236210,2
1.63,1
407615,0
265188,2
1.48,1
396270,0
262004,2
1.51,1
392876,0
298666,2
1.53,1
393663,0
1.54,1
395867,0
230546,2
397910,0
228084,2
1.54,1
396186,0
257133,2
1.54,1
396565,0
257357,2
1.52,1
400809,0
271682,2
1.56,1
401467,0
1.55,1
260385,2
1.54,1
266795,2
405284,0
1.53,1
277716,2
404653,0
246350,2
409780,0
1.57,1
411981,0
1.57,1
259945,2
413852,0
1.57,1
263738,2
415185,0
308821,2
1.56,1
242271,2
1.56,1
417365,0
233478,2
1.6,1
421512,0
264532,2
1.58,1
423156,0
265990,2
1.59,1
424367,0
281482,2
422112,0
1.58,1
422919,0
271242,2
1.56,1
423479,0
279323,2
1.55,1
418721,0
285212,2
1.51,1
424317,0
265331,2
1.53,1
273781,2
1.56,1
427462,0
1.55,1
430161,0
272396,2
1.55,1
431219,0
327693,2
1.55,1
432076,0
252818,2
1.55,1
435509,0
253689,2
440705,0
287944,2
1.54,1
284325,2
1.58,1
446495,0
296253,2
1.55,1
446393,0
289664,2
1.59,1
451770,0
294875,2
1.58,1
454032,0
1.59,1
457271,0
294133,2
456162,0
282974,2
1.56,1
455096,0
287468,2
1.54,1
459431,0
294278,2
1.55,1
460394,0
354627,2
1.54,1
461016,0
1.55,1
263469,2
1.54,1
462872,0
265320,2
1.54,1
464979,0
306384,2
1.53,1
465861,0
302054,2
1.54,1
465988,0
311292,2
463147,0
317375,2
1.49,1
316887,2
1.44,1
452724,0
321409,2
1.47,1
455534,0
300439,2
1.48,1
460270,0
302213,2
1.49,1
461942,0
311715,2
467074,0
1.49,1
471700,0
1.5,1
370726,2
474302,0
1.47,1
286152,2
1.48,1
282417,2
473254,0
326153,2
479481,0
1.49,1
316526,2
477862,0
1.48,1
337393,2
1.51,1
484518,0
1.51,1
488787,0
330844,2
1.5,1
485766,0
325905,2
1.5,1
487446,0
339155,2
1.5,1
485983,0
310775,2
1.5,1
312976,2
485583,0
323089,2
1.5,1
484834,0
380188,2
1.49,1
486412,0
295284,2
1.49,1
488010,0
290065,2
1.49,1
489691,0
1.47,1
487268,0
335917,2
489640,0
321981,2
1.49,1
492929,0
353201,2
1.47,1
496146,0
338189,2
1.5,1
497100,0
333815,2
1.5,1
349191,2
1.5,1
500179,0
1.49,1
317145,2
499246,0
1.48,1
331073,2
500684,0
341848,2
500361,0
1.47,1
500578,0
1.49,1
387473,2
502933,0
1.49,1
307576,2
502967,0
308171,2
1.5,1
334416,2
1.49,1
498183,0
331002,2
1.49,1
499627,0
357277,2
1.47,1
498193,0
339791,2
1.47,1
497072,0
344158,2
500931,0
1.49,1
495696,0
342443,2
1.48,1
495361,0
313308,2
1.51,1
494626,0
311422,2
1.57,1
485385,0
299238,2
1.61,1
346513,2
1.62,1
477177,0
1.57,1
468879,0
273998,2
1.56,1
463055,0
264465,2
1.57,1
458110,0
290068,2
1.54,1
452664,0
292041,2
1.5,1
307481,2
444278,0
306050,2
439315,0
1.45,1
308847,2
434077,0
1.43,1
422755,0
1.37,1
314505,2
1.41,1
288071,2
425411,0
1.41,1
300360,2
428143,0
1.4,1
428631,0
303850,2
429200,0
362735,2
1.39,1
429408,0
279044,2
1.39,1
430673,0
275566,2
1.4,1
