@relation noise datasets
@attribute f1 numeric
@attribute f2 numeric
@attribute class {0,1,2,3,4,5,6,7,8,-1}

@data
0.5231,0.40679,7
0.51657,0.4108,7
0.5411,0.42135,7
0.52711,0.40048,7
0.53296,0.40678,7
0.53359,0.40924,7
0.53713,0.42801,7
0.53356,0.41974,7
0.52611,0.42333,7
0.52858,0.41364,7
0.51864,0.39985,7
0.55089,0.42333,7
0.52796,0.41964,7
0.52934,0.41382,7
0.53325,0.40774,7
0.52388,0.42122,7
0.52603,0.40799,7
0.52623,0.415,7
0.52958,0.41192,7
0.53433,0.41334,7
0.52493,0.41991,7
0.53574,0.41339,7
0.51521,0.42662,7
0.53196,0.40767,7
0.52806,0.4321,7
0.53729,0.41596,7
0.52473,0.42497,7
0.52491,0.40959,7
0.53505,0.41183,7
0.52938,0.41573,7
0.54552,0.40476,7
0.52581,0.42096,7
0.5331,0.41436,7
0.52508,0.41677,7
0.52489,0.42445,7
0.52485,0.41306,7
0.53422,0.40952,7
0.53783,0.41508,7
0.53252,0.40613,7
0.54084,0.42048,7
0.52235,0.41968,7
0.52755,0.41618,7
0.52796,0.42357,7
0.54245,0.41741,7
0.52533,0.40606,7
0.54012,0.40594,7
0.52548,0.42255,7
0.53191,0.40878,7
0.53437,0.41447,7
0.54535,0.42062,7
0.53198,0.42729,7
0.53161,0.40515,7
0.52292,0.42028,7
0.52648,0.41785,7
0.53658,0.42019,7
0.53653,0.41314,7
0.52751,0.40793,7
0.5351,0.40501,7
0.53191,0.41966,7
0.52729,0.41592,7
0.52902,0.4027,7
0.53562,0.40304,7
0.52434,0.41796,7
0.53069,0.41342,7
0.52733,0.41615,7
0.5313,0.4233,7
0.53196,0.42095,7
0.52723,0.40451,7
0.53186,0.41154,7
0.52092,0.41248,7
0.52123,0.42052,7
0.5372,0.40902,7
0.53009,0.42349,7
0.52254,0.40388,7
0.52892,0.41353,7
0.52739,0.40683,7
0.52784,0.41676,7
0.53151,0.40719,7
0.52006,0.41098,7
0.52539,0.41725,7
0.51421,0.40478,7
0.53548,0.42249,7
0.51357,0.42293,7
0.52126,0.41907,7
0.53015,0.42086,7
0.53533,0.41452,7
0.51382,0.41096,7
0.52642,0.411,7
0.53895,0.41399,7
0.5275,0.42008,7
0.51715,0.40501,7
0.52547,0.42097,7
0.52637,0.41718,7
0.521,0.42114,7
0.52616,0.41374,7
0.52473,0.40767,7
0.52557,0.40787,7
0.53243,0.43163,7
0.53361,0.41505,7
0.52653,0.41527,7
0.54012,0.42172,7
0.54159,0.42251,7
0.52065,0.40609,7
0.52619,0.41838,7
0.5337,0.40616,7
0.53086,0.41934,7
0.52159,0.41647,7
0.52404,0.41544,7
0.53686,0.40801,7
0.52801,0.41567,7
0.53687,0.40943,7
0.53057,0.40808,7
0.54849,0.41511,7
0.52131,0.41296,7
0.52876,0.41736,7
0.52331,0.41248,7
0.52507,0.41564,7
0.53309,0.41151,7
0.53876,0.41677,7
0.52925,0.40183,7
0.51881,0.4288,7
0.53799,0.42625,7
0.53803,0.41654,7
0.53303,0.41616,7
0.53601,0.42209,7
0.51843,0.40769,7
0.52921,0.41845,7
0.52593,0.41384,7
0.52286,0.4039,7
0.51817,0.41164,7
0.5388,0.41129,7
0.52413,0.41229,7
0.53166,0.41613,7
0.5372,0.41341,7
0.52694,0.42149,7
0.52212,0.4058,7
0.54133,0.40575,7
0.52103,0.42323,7
0.52,0.40946,7
0.52593,0.42508,7
0.53693,0.41441,7
0.53448,0.41847,7
0.54172,0.41736,7
0.53838,0.4105,7
0.53847,0.41136,7
0.52876,0.42596,7
0.52408,0.40619,7
0.52148,0.41426,7
0.52774,0.42403,7
0.52836,0.41456,7
0.52994,0.41442,7
0.52137,0.41609,7
0.54447,0.4136,7
0.529,0.41364,7
0.53131,0.41186,7
0.52794,0.41664,7
0.53062,0.40835,7
0.5279,0.40307,7
0.52635,0.42115,7
0.52864,0.41309,7
0.52866,0.42348,7
0.52337,0.41047,7
0.52751,0.42434,7
0.51938,0.41167,7
0.52976,0.41363,7
0.52532,0.41452,7
0.52246,0.42203,7
0.53669,0.40591,7
0.52644,0.41115,7
0.53011,0.41954,7
0.51915,0.41496,7
0.52135,0.41472,7
0.52663,0.39977,7
0.52907,0.41237,7
0.51939,0.40961,7
0.52338,0.41565,7
0.53409,0.4088,7
0.52563,0.4219,7
0.52794,0.40921,7
0.52848,0.41076,7
0.53328,0.41297,7
0.52264,0.41201,7
0.53108,0.41637,7
0.54054,0.4098,7
0.51659,0.4174,7
0.52378,0.41115,7
0.53276,0.4156,7
0.52944,0.41318,7
0.54036,0.40849,7
0.52394,0.40809,7
0.54034,0.41382,7
0.53636,0.41132,7
0.53526,0.4099,7
0.53325,0.42203,7
0.53553,0.40916,7
0.53795,0.41034,7
0.52508,0.41078,7
0.52545,0.40393,7
0.52534,0.41478,7
0.52501,0.4102,7
0.5325,0.40677,7
0.53115,0.40897,7
0.54127,0.41703,7
0.52685,0.41606,7
0.54384,0.41477,7
0.52824,0.41968,7
0.52417,0.40766,7
0.52994,0.41699,7
0.51849,0.41256,7
0.52978,0.41329,7
0.52978,0.42352,7
0.52486,0.41993,7
0.53389,0.42063,7
0.52519,0.41136,7
0.5362,0.42165,7
0.52978,0.41431,7
0.53553,0.40866,7
0.52875,0.41609,7
0.53194,0.41595,7
0.5295,0.41188,7
0.52672,0.41949,7
0.52147,0.41585,7
0.53501,0.4207,7
0.53656,0.41432,7
0.53094,0.4209,7
0.5242,0.42072,7
0.52157,0.41513,7
0.52515,0.41215,7
0.52144,0.41215,7
0.52432,0.40557,7
0.51848,0.41681,7
0.5356,0.40397,7
0.52893,0.42821,7
0.53921,0.40884,7
0.528,0.42446,7
0.52786,0.40918,7
0.52861,0.42301,7
0.53519,0.4163,7
0.53733,0.41135,7
0.52521,0.40986,7
0.53548,0.41713,7
0.53138,0.41295,7
0.53257,0.4052,7
0.51379,0.42537,7
0.52725,0.41815,7
0.5381,0.41003,7
0.53257,0.41111,7
0.53337,0.42405,7
0.53394,0.41246,7
0.53887,0.41807,7
0.52832,0.40448,7
0.51703,0.42083,7
0.5304,0.42743,7
0.53847,0.40837,7
0.53025,0.41908,7
0.5227,0.42932,7
0.53033,0.41697,7
0.52402,0.40417,7
0.51395,0.42045,7
0.52229,0.41711,7
0.52744,0.40597,7
0.52107,0.40347,7
0.5396,0.41288,7
0.5302,0.40565,7
0.5249,0.42222,7
0.53442,0.40877,7
0.53588,0.40181,7
0.52165,0.42171,7
0.53147,0.41089,7
0.53244,0.41032,7
0.53646,0.41282,7
0.53267,0.41921,7
0.54115,0.41094,7
0.53167,0.41059,7
0.53132,0.42641,7
0.52945,0.41808,7
0.53667,0.41481,7
0.52102,0.4092,7
0.53046,0.41437,7
0.52824,0.41321,7
0.52544,0.41531,7
0.52708,0.42451,7
0.53053,0.40317,7
0.53269,0.413,7
0.54243,0.41337,7
0.53942,0.41261,7
0.51987,0.42257,7
0.53205,0.4212,7
0.53643,0.41812,7
0.53999,0.4212,7
0.53711,0.40369,7
0.53968,0.42552,7
0.53418,0.40879,7
0.52905,0.41596,7
0.53135,0.41527,7
0.52244,0.39911,7
0.52116,0.41042,7
0.52459,0.41204,7
0.53435,0.41282,7
0.53014,0.41003,7
0.53626,0.42727,7
0.52742,0.41517,7
0.53906,0.40634,7
0.52101,0.4091,7
0.53283,0.41201,7
0.5253,0.41574,7
0.52438,0.41302,7
0.53764,0.41464,7
0.53048,0.42656,7
0.52633,0.41587,7
0.53334,0.41876,7
0.53867,0.41356,7
0.52366,0.42185,7
0.52811,0.41471,7
0.5266,0.40961,7
0.52417,0.41404,7
0.52461,0.42154,7
0.53639,0.41192,7
0.52432,0.41884,7
0.53912,0.42486,7
0.52221,0.41956,7
0.52376,0.41743,7
0.53187,0.41154,7
0.52785,0.40978,7
0.52743,0.42024,7
0.53926,0.42117,7
0.51673,0.41098,7
0.53424,0.42088,7
0.53518,0.42021,7
0.52506,0.40947,7
0.52636,0.41505,7
0.52888,0.40953,7
0.53261,0.40222,7
0.52279,0.40953,7
0.52556,0.41534,7
0.52517,0.41037,7
0.52794,0.42067,7
0.52257,0.42322,7
0.53307,0.42638,7
0.55155,0.41558,7
0.53465,0.41118,7
0.52283,0.41195,7
0.53309,0.41919,7
0.53087,0.40964,7
0.53717,0.4125,7
0.53825,0.4114,7
0.52792,0.4042,7
0.53244,0.40478,7
0.53065,0.39251,7
0.53233,0.40476,7
0.52369,0.42098,7
0.52699,0.41616,7
0.5408,0.40708,7
0.52774,0.40321,7
0.52553,0.41822,7
0.53067,0.41118,7
0.52497,0.42136,7
0.52948,0.40664,7
0.5263,0.4017,7
0.53401,0.42097,7
0.52668,0.42509,7
0.53323,0.40414,7
0.53607,0.42126,7
0.53297,0.41931,7
0.5227,0.42179,7
0.53524,0.42004,7
0.52733,0.42022,7
0.5333,0.41114,7
0.51969,0.41708,7
0.53354,0.43272,7
0.53231,0.41737,7
0.52538,0.41205,7
0.52863,0.40496,7
0.51943,0.42106,7
0.52573,0.40991,7
0.52513,0.42302,7
0.53084,0.41682,7
0.53074,0.419,7
0.53142,0.40885,7
0.52518,0.4155,7
0.53002,0.41805,7
0.52091,0.41243,7
0.53368,0.41247,7
0.52387,0.40904,7
0.53328,0.41605,7
0.53553,0.40972,7
0.52931,0.41381,7
0.53237,0.41085,7
0.52673,0.41134,7
0.52991,0.40787,7
0.52771,0.40958,7
0.52117,0.40832,7
0.52728,0.40001,7
0.51901,0.42322,7
0.53199,0.41488,7
0.51739,0.41602,7
0.53508,0.41109,7
0.53203,0.41081,7
0.51872,0.40791,7
0.52779,0.42816,7
0.51887,0.41267,7
0.53116,0.41992,7
0.53362,0.41177,7
0.52383,0.41011,7
0.53994,0.41197,7
0.53328,0.41217,7
0.53882,0.41136,7
0.53332,0.41399,7
0.5316,0.41571,7
0.52361,0.42462,7
0.5295,0.40838,7
0.53587,0.40133,7
0.52604,0.41378,7
0.53635,0.4117,7
0.53961,0.41988,7
0.52943,0.42076,7
0.52903,0.41607,7
0.52791,0.41936,7
0.53075,0.41302,7
0.54186,0.4125,7
0.53207,0.41776,7
0.52687,0.42031,7
0.53309,0.41214,7
0.52505,0.40662,7
0.52447,0.41931,7
0.53443,0.41342,7
0.53239,0.42192,7
0.5246,0.41724,7
0.53466,0.4237,7
0.54001,0.40958,7
0.52594,0.41785,7
0.51778,0.42523,7
0.53342,0.41604,7
0.52339,0.40947,7
0.52782,0.40751,7
0.52064,0.41202,7
0.53434,0.41024,7
0.51972,0.41124,7
0.54034,0.40942,7
0.53397,0.41162,7
0.53374,0.42318,7
0.52394,0.41894,7
0.53609,0.4231,7
0.51295,0.41391,7
0.53497,0.40622,7
0.53262,0.41089,7
0.53303,0.40884,7
0.52061,0.40993,7
0.51353,0.41394,7
0.52128,0.41995,7
0.541,0.42573,7
0.51985,0.41211,7
0.53054,0.41014,7
0.53173,0.40204,7
0.52091,0.40895,7
0.52583,0.39808,7
0.53115,0.41656,7
0.53042,0.40731,7
0.52353,0.41875,7
0.54604,0.40849,7
0.53142,0.41483,7
0.53916,0.40824,7
0.53409,0.42067,7
0.52362,0.4163,7
0.55043,0.41638,7
0.52337,0.40688,7
0.52587,0.41721,7
0.53368,0.41805,7
0.52597,0.41075,7
0.53682,0.41203,7
0.52237,0.40858,7
0.53193,0.4086,7
0.535,0.41618,7
0.53223,0.41494,7
0.53738,0.41036,7
0.52599,0.42774,7
0.51886,0.40711,7
0.52736,0.4276,7
0.52506,0.41289,7
0.52926,0.42177,7
0.52093,0.422,7
0.53223,0.40619,7
0.53405,0.41167,7
0.53346,0.42193,7
0.52418,0.40796,7
0.53236,0.41617,7
0.53065,0.42633,7
0.5234,0.40518,7
0.52114,0.42396,7
0.53013,0.41174,7
0.54284,0.41589,7
0.5211,0.4103,7
0.52789,0.41638,7
0.52197,0.42939,7
0.52224,0.42326,7
0.52334,0.40633,7
0.53065,0.40323,7
0.53761,0.41765,7
0.51898,0.41746,7
0.52734,0.40996,7
0.52497,0.41517,7
0.53205,0.41264,7
0.53064,0.41843,7
0.5397,0.41561,7
0.54186,0.41072,7
0.52898,0.41445,7
0.52748,0.40367,7
0.52862,0.41852,7
0.53501,0.42496,7
0.52483,0.41543,7
0.53267,0.41239,7
0.53108,0.39673,7
0.53213,0.41916,7
0.51202,0.41546,7
0.52408,0.40724,7
0.50861,0.39787,7
0.52395,0.40483,7
0.52872,0.42015,7
0.51718,0.41685,7
0.52414,0.42256,7
0.53459,0.41811,7
0.53681,0.42311,7
0.5363,0.41553,7
0.52795,0.41919,7
0.52903,0.41537,7
0.53202,0.41557,7
0.52679,0.40628,7
0.53068,0.41067,7
0.53503,0.41105,7
0.51729,0.42223,7
0.52117,0.41999,7
0.53031,0.41417,7
0.52022,0.41874,7
0.52846,0.41739,7
0.54195,0.41046,7
0.5267,0.40999,7
0.52898,0.4143,7
0.53002,0.40957,7
0.53325,0.41928,7
0.53784,0.40141,7
0.53555,0.41251,7
0.5317,0.41386,7
0.53771,0.4124,7
0.52806,0.40394,7
0.52772,0.41686,7
0.53147,0.41146,7
0.52429,0.40684,7
0.52986,0.42434,7
0.53949,0.40563,7
0.54348,0.41359,7
0.51781,0.41378,7
0.5457,0.41635,7
0.53568,0.40751,7
0.53035,0.41533,7
0.53864,0.40656,7
0.52483,0.41275,7
0.53333,0.41699,7
0.53615,0.41064,7
0.52979,0.40625,7
0.52785,0.40988,7
0.53487,0.41202,7
0.53431,0.41826,7
0.51747,0.41028,7
0.52716,0.40582,7
0.52983,0.41737,7
0.52809,0.39823,7
0.53357,0.41935,7
0.52868,0.40563,7
0.52249,0.41071,7
0.52768,0.41048,7
0.53379,0.41976,7
0.52458,0.42055,7
0.55079,0.41041,7
0.52986,0.4137,7
0.53203,0.41595,7
0.52759,0.41376,7
0.53772,0.40561,7
0.52861,0.40473,7
0.52312,0.42016,7
0.53749,0.41629,7
0.51662,0.41988,7
0.53174,0.40849,7
0.52819,0.41807,7
0.52074,0.4167,7
0.5267,0.41254,7
0.5321,0.40858,7
0.52237,0.41791,7
0.53038,0.41595,7
0.52623,0.41997,7
0.52801,0.40563,7
0.5364,0.42055,7
0.52329,0.41727,7
0.52999,0.42238,7
0.53871,0.41243,7
0.53249,0.40981,7
0.52854,0.40866,7
0.53768,0.41463,7
0.52123,0.41341,7
0.53249,0.41876,7
0.52927,0.41244,7
0.53411,0.41399,7
0.53286,0.42022,7
0.5236,0.40992,7
0.52102,0.41636,7
0.52341,0.41807,7
0.53102,0.4147,7
0.51836,0.41034,7
0.52835,0.41578,7
0.53505,0.42671,7
0.52545,0.42689,7
0.52831,0.41708,7
0.54209,0.41691,7
0.52281,0.41606,7
0.52794,0.40756,7
