@relation S1 datasets
@attribute f1 numeric
@attribute f2 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14}

@data
6.6416e+05,5.5095e+05,0
6.6584e+05,5.5796e+05,0
5.9717e+05,5.7554e+05,0
6.186e+05,5.5145e+05,0
6.3569e+05,6.0805e+05,0
5.881e+05,5.5759e+05,0
5.8202e+05,5.4619e+05,0
6.0468e+05,5.7458e+05,0
5.7203e+05,5.1831e+05,0
6.0474e+05,5.7459e+05,0
5.7773e+05,5.8757e+05,0
6.0201e+05,5.7472e+05,0
6.2797e+05,5.7462e+05,0
6.0727e+05,5.3696e+05,0
6.0314e+05,5.748e+05,0
6.7192e+05,5.7176e+05,0
6.1218e+05,5.7039e+05,0
6.0003e+05,5.7531e+05,0
6.2791e+05,5.9389e+05,0
6.0197e+05,6.0443e+05,0
5.9185e+05,5.6905e+05,0
6.0144e+05,5.7269e+05,0
6.2972e+05,5.581e+05,0
6.6143e+05,6.0357e+05,0
5.9755e+05,5.5674e+05,0
6.0118e+05,5.8258e+05,0
5.627e+05,5.706e+05,0
6.0511e+05,5.6343e+05,0
6.0721e+05,5.7507e+05,0
5.6882e+05,5.702e+05,0
6.1248e+05,5.1801e+05,0
5.8924e+05,5.7378e+05,0
6.2558e+05,5.5108e+05,0
5.6024e+05,5.0015e+05,0
6.2622e+05,5.6969e+05,0
6.1067e+05,5.517e+05,0
5.9743e+05,5.6994e+05,0
6.0058e+05,5.9954e+05,0
6.0417e+05,5.55e+05,0
6.1387e+05,5.5042e+05,0
6.1731e+05,5.5194e+05,0
6.2573e+05,5.7946e+05,0
6.063e+05,5.6671e+05,0
6.3856e+05,5.5881e+05,0
5.8218e+05,6.3038e+05,0
5.4406e+05,5.7779e+05,0
6.313e+05,5.7835e+05,0
5.6157e+05,6.2175e+05,0
6.0497e+05,5.7477e+05,0
6.0528e+05,5.5613e+05,0
6.1791e+05,5.9229e+05,0
5.559e+05,6.404e+05,0
5.2656e+05,5.0942e+05,0
6.0385e+05,5.724e+05,0
5.9863e+05,6.199e+05,0
6.0336e+05,5.8926e+05,0
6.5746e+05,5.6775e+05,0
6.1428e+05,5.9925e+05,0
5.785e+05,6.3143e+05,0
6.4517e+05,5.9521e+05,0
6.8802e+05,5.3354e+05,0
6.5648e+05,5.7301e+05,0
5.4003e+05,5.6389e+05,0
5.9742e+05,5.3836e+05,0
6.1354e+05,5.7473e+05,0
6.287e+05,5.4245e+05,0
6.0416e+05,5.7419e+05,0
6.0313e+05,4.9799e+05,0
6.0585e+05,5.3331e+05,0
5.9618e+05,5.2956e+05,0
6.1033e+05,5.5263e+05,0
5.9818e+05,5.3147e+05,0
6.2044e+05,5.1169e+05,0
6.002e+05,6.2208e+05,0
6.0302e+05,5.7799e+05,0
5.1561e+05,5.4064e+05,0
6.0655e+05,5.7438e+05,0
5.9349e+05,6.2311e+05,0
6.0708e+05,5.955e+05,0
5.8373e+05,5.6315e+05,0
6.1604e+05,5.3381e+05,0
6.2445e+05,5.8462e+05,0
6.0444e+05,5.7467e+05,0
6.2571e+05,6.6014e+05,0
6.0138e+05,5.7983e+05,0
5.6515e+05,5.573e+05,0
6.3942e+05,5.379e+05,0
6.128e+05,5.375e+05,0
5.8365e+05,6.5218e+05,0
5.9981e+05,5.9648e+05,0
6.0525e+05,5.7327e+05,0
6.0674e+05,6.0136e+05,0
6.1104e+05,5.7181e+05,0
5.7544e+05,5.6851e+05,0
6.1633e+05,5.2952e+05,0
6.0593e+05,5.7253e+05,0
6.0929e+05,5.8678e+05,0
6.4735e+05,5.7919e+05,0
6.0693e+05,5.7142e+05,0
5.6292e+05,5.5922e+05,0
6.8036e+05,6.2081e+05,0
7.071e+05,6.0146e+05,0
6.0429e+05,5.7437e+05,0
6.1492e+05,6.0095e+05,0
6.1151e+05,5.0322e+05,0
6.0379e+05,5.7447e+05,0
5.5174e+05,5.8877e+05,0
5.4603e+05,5.7043e+05,0
5.692e+05,5.5931e+05,0
6.8871e+05,5.6875e+05,0
6.0407e+05,5.7409e+05,0
6.0681e+05,5.721e+05,0
5.886e+05,6.2259e+05,0
6.1384e+05,5.3417e+05,0
5.7626e+05,5.4724e+05,0
5.9708e+05,5.682e+05,0
6.0134e+05,5.7161e+05,0
6.0601e+05,5.6943e+05,0
5.934e+05,5.5976e+05,0
5.9317e+05,6.2272e+05,0
6.098e+05,5.3298e+05,0
7.1265e+05,6.0754e+05,0
5.8505e+05,5.051e+05,0
5.2597e+05,5.6569e+05,0
6.6033e+05,5.859e+05,0
6.076e+05,5.7395e+05,0
6.04e+05,5.7359e+05,0
5.9148e+05,5.7109e+05,0
6.1387e+05,5.8509e+05,0
6.4546e+05,6.6048e+05,0
5.3857e+05,6.5465e+05,0
5.5543e+05,6.0455e+05,0
5.9762e+05,5.8623e+05,0
5.861e+05,5.6744e+05,0
5.4524e+05,5.3982e+05,0
6.4909e+05,5.7573e+05,0
5.9912e+05,6.1698e+05,0
5.6376e+05,5.5945e+05,0
6.1772e+05,6.1394e+05,0
6.1887e+05,5.7724e+05,0
5.6719e+05,5.6004e+05,0
6.3663e+05,5.3331e+05,0
5.6036e+05,5.6791e+05,0
5.9501e+05,6.3284e+05,0
6.0588e+05,5.5064e+05,0
6.0435e+05,5.7342e+05,0
6.0068e+05,5.9954e+05,0
5.9689e+05,5.7948e+05,0
6.1494e+05,5.4098e+05,0
6.0442e+05,5.714e+05,0
6.037e+05,5.7358e+05,0
6.582e+05,5.6874e+05,0
5.9876e+05,5.8294e+05,0
6.7127e+05,5.9026e+05,0
5.9332e+05,5.3408e+05,0
6.5798e+05,4.534e+05,7
6.0856e+05,5.9028e+05,0
6.23e+05,5.0805e+05,0
6.019e+05,5.6939e+05,0
6.4103e+05,5.9307e+05,0
5.8966e+05,6.405e+05,0
5.6756e+05,5.7395e+05,0
5.5908e+05,5.7009e+05,0
6.3943e+05,5.8816e+05,0
5.6661e+05,5.3759e+05,0
5.6857e+05,5.7934e+05,0
6.6065e+05,6.1504e+05,0
6.6764e+05,5.7116e+05,0
5.968e+05,5.2993e+05,0
6.0611e+05,6.1785e+05,0
6.1606e+05,5.9078e+05,0
6.0287e+05,5.2786e+05,0
5.7133e+05,5.9414e+05,0
6.0217e+05,5.4392e+05,0
6.051e+05,5.7331e+05,0
5.4664e+05,5.6004e+05,0
5.852e+05,5.5501e+05,0
6.5174e+05,5.8947e+05,0
5.8911e+05,5.3657e+05,0
5.8206e+05,5.4312e+05,0
6.9097e+05,5.5595e+05,0
6.0903e+05,5.5244e+05,0
6.3212e+05,5.4141e+05,0
6.0344e+05,6.306e+05,0
6.2826e+05,6.1621e+05,0
5.7724e+05,5.7407e+05,0
6.0409e+05,5.7439e+05,0
6.0791e+05,5.7656e+05,0
6.0066e+05,6.3889e+05,0
6.0012e+05,5.3908e+05,0
6.3118e+05,5.6547e+05,0
6.9565e+05,6.5223e+05,0
6.1944e+05,5.6749e+05,0
6.1319e+05,5.7194e+05,0
5.6743e+05,5.8e+05,0
5.9058e+05,6.2331e+05,0
6.0629e+05,6.7024e+05,0
5.8518e+05,5.7413e+05,0
6.3497e+05,5.7902e+05,0
6.1462e+05,5.7444e+05,0
5.9306e+05,5.7919e+05,0
6.0693e+05,5.7641e+05,0
6.0659e+05,5.7387e+05,0
5.9408e+05,6.2946e+05,0
6.837e+05,5.8152e+05,0
6.0153e+05,5.7718e+05,0
6.0306e+05,5.8982e+05,0
6.1656e+05,6.1901e+05,0
6.0746e+05,4.7708e+05,7
6.1158e+05,5.7263e+05,0
5.7971e+05,5.6835e+05,0
6.0289e+05,5.9524e+05,0
6.0004e+05,5.5714e+05,0
6.0591e+05,5.7953e+05,0
5.7977e+05,5.687e+05,0
6.0632e+05,5.4436e+05,0
6.0596e+05,5.7373e+05,0
6.0614e+05,5.7508e+05,0
6.6747e+05,5.7057e+05,0
5.8005e+05,5.6501e+05,0
5.978e+05,5.7611e+05,0
6.1026e+05,5.7442e+05,0
6.0386e+05,5.7518e+05,0
6.2437e+05,5.3215e+05,0
5.9987e+05,5.9111e+05,0
5.7717e+05,6.171e+05,0
6.584e+05,6.1133e+05,0
5.6346e+05,4.8056e+05,7
6.1098e+05,5.2282e+05,0
5.6942e+05,5.6779e+05,0
6.2773e+05,5.7874e+05,0
5.928e+05,5.8454e+05,0
5.4078e+05,6.265e+05,0
5.9182e+05,6.391e+05,0
6.3732e+05,5.4957e+05,0
6.3808e+05,6.2942e+05,0
6.1132e+05,5.6076e+05,0
6.471e+05,5.7385e+05,0
5.2299e+05,5.9558e+05,0
6.0119e+05,5.3182e+05,0
5.338e+05,5.6438e+05,0
6.4903e+05,5.2881e+05,0
6.2098e+05,5.6434e+05,0
6.2241e+05,5.8319e+05,0
5.9703e+05,6.4292e+05,0
5.5129e+05,5.7672e+05,0
6.0877e+05,6.1052e+05,0
6.9796e+05,6.147e+05,0
6.5828e+05,5.8226e+05,0
5.4663e+05,5.992e+05,0
6.7256e+05,5.6447e+05,0
6.365e+05,5.874e+05,0
6.9614e+05,5.487e+05,0
5.3355e+05,5.8225e+05,0
5.268e+05,5.5152e+05,0
5.5304e+05,6.0642e+05,0
6.966e+05,6.0362e+05,0
5.8896e+05,5.9744e+05,0
7.1614e+05,6.2172e+05,0
6.0853e+05,5.8631e+05,0
5.5738e+05,5.6703e+05,0
5.8999e+05,6.1089e+05,0
5.8934e+05,5.6312e+05,0
6.2442e+05,5.1591e+05,0
5.6548e+05,5.5151e+05,0
5.849e+05,5.7467e+05,0
5.8278e+05,5.4267e+05,0
6.3939e+05,5.7673e+05,0
6.083e+05,5.7375e+05,0
6.6358e+05,5.8626e+05,0
6.2808e+05,5.6299e+05,0
5.9742e+05,5.5477e+05,0
5.9519e+05,5.7651e+05,0
6.581e+05,5.7225e+05,0
6.5953e+05,4.9847e+05,0
6.0642e+05,5.8139e+05,0
6.4198e+05,5.7743e+05,0
5.8747e+05,5.6495e+05,0
5.8918e+05,5.951e+05,0
6.0188e+05,5.7308e+05,0
5.8056e+05,5.2892e+05,0
6.2173e+05,5.78e+05,0
5.5882e+05,5.7626e+05,0
6.2021e+05,5.7447e+05,0
5.9401e+05,5.701e+05,0
5.4198e+05,5.1264e+05,0
5.9384e+05,5.7868e+05,0
6.0267e+05,5.7586e+05,0
6.3145e+05,5.6116e+05,0
5.9648e+05,5.6745e+05,0
6.1132e+05,5.8158e+05,0
5.6855e+05,5.6491e+05,0
5.9386e+05,5.7299e+05,0
5.9702e+05,5.7559e+05,0
5.788e+05,5.7358e+05,0
6.7375e+05,5.9408e+05,0
5.9271e+05,5.5396e+05,0
5.9403e+05,5.867e+05,0
6.685e+05,5.6394e+05,0
6.2953e+05,5.3754e+05,0
8.0154e+05,3.1848e+05,1
8.0167e+05,3.1854e+05,1
8.1404e+05,3.33e+05,1
8.0048e+05,3.2164e+05,1
7.5747e+05,2.2498e+05,1
8.4454e+05,4.2465e+05,1
7.971e+05,3.16e+05,1
7.7996e+05,2.715e+05,1
7.972e+05,3.1332e+05,1
8.0132e+05,3.1624e+05,1
7.8367e+05,2.629e+05,1
8.0613e+05,3.1275e+05,1
8.3066e+05,3.6869e+05,1
8.0248e+05,3.3527e+05,1
8.0191e+05,3.2543e+05,1
8.0806e+05,3.3734e+05,1
7.8983e+05,3.0442e+05,1
8.036e+05,3.2726e+05,1
8.0086e+05,3.1297e+05,1
8.0224e+05,3.1853e+05,1
8.0396e+05,3.1517e+05,1
8.0012e+05,3.1231e+05,1
7.8093e+05,2.8506e+05,1
7.9724e+05,3.2459e+05,1
8.0155e+05,3.2054e+05,1
8.0918e+05,3.1912e+05,1
8.0193e+05,3.172e+05,1
8.708e+05,4.7633e+05,13
8.2033e+05,3.527e+05,1
8.0109e+05,3.1751e+05,1
7.9852e+05,3.245e+05,1
8.0524e+05,3.1866e+05,1
8.0338e+05,3.1162e+05,1
8.0144e+05,3.2381e+05,1
7.9731e+05,3.1753e+05,1
7.8822e+05,3.0192e+05,1
7.904e+05,3.0002e+05,1
8.1714e+05,3.4992e+05,1
7.9779e+05,3.0147e+05,1
8.0463e+05,3.3233e+05,1
8.0871e+05,3.3038e+05,1
8.0211e+05,3.2082e+05,1
