@relation unbalance2 datasets
@attribute f1 numeric
@attribute f2 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11}

@data
151700,351102,1
155799,354358,1
142857,352716,1
152726,349144,1
151008,349692,1
145865,351895,1
148629,350242,1
151083,353684,1
161316,348971,1
158758,352360,1
145731,350480,1
159597,355339,1
152294,345996,1
149801,349982,1
152260,350394,1
149352,342567,1
149607,353888,1
154711,359310,1
154456,349715,1
154482,351351,1
152123,348751,1
146182,350827,1
152268,349032,1
155155,350195,1
151546,355246,1
153272,347661,1
152299,348418,1
149040,349665,1
150929,349676,1
147510,354280,1
152809,356672,1
146373,346559,1
146620,347645,1
147440,351382,1
140689,347871,1
154549,356725,1
151028,355250,1
147613,351520,1
154333,352207,1
144588,348394,1
149677,352370,1
149236,353471,1
151009,350546,1
150989,356166,1
147265,351837,1
149905,349644,1
149479,351115,1
151985,353649,1
153457,349093,1
153508,350082,1
147269,357194,1
150245,348533,1
146161,352594,1
146479,352222,1
149978,354997,1
154847,352140,1
147566,342000,1
151174,347435,1
149287,351539,1
153533,351164,1
146556,355830,1
150103,354435,1
151747,351738,1
153480,350609,1
154883,345616,1
150272,355889,1
145283,349950,1
147653,344901,1
146643,351028,1
157433,351067,1
148053,348011,1
152366,351788,1
149392,347713,1
152810,346040,1
147581,344238,1
145566,348412,1
145502,347577,1
151544,351539,1
149439,345216,1
149380,349283,1
154488,345713,1
150922,355786,1
150626,349695,1
155021,354360,1
147456,351303,1
152203,353079,1
152641,346632,1
149229,353880,1
150682,354638,1
146313,343097,1
146370,349082,1
150332,347981,1
152284,350721,1
158176,348142,1
147891,350667,1
150592,351938,1
149739,350744,1
143887,349016,1
148612,345804,1
144325,349614,1
152658,348627,1
147192,345695,1
150317,349855,1
148278,349168,1
150960,350700,1
148102,352932,1
151549,351968,1
152338,354342,1
155413,348247,1
149386,347218,1
143238,349025,1
147345,354087,1
154284,354530,1
146610,349265,1
153039,348426,1
150392,345255,1
154543,352568,1
143799,349452,1
149375,346232,1
146180,348565,1
159196,345163,1
152610,351614,1
154361,349889,1
146654,354798,1
148518,345574,1
149138,352967,1
153474,350799,1
149121,350172,1
152218,352477,1
143512,353106,1
148881,346518,1
147396,353889,1
145013,345694,1
151606,346781,1
150892,347973,1
150106,352328,1
145783,346212,1
153565,351410,1
151107,351407,1
149054,350390,1
150072,351752,1
149171,346227,1
144465,352617,1
149097,350267,1
147371,352034,1
146903,346596,1
146343,349798,1
148313,352593,1
143667,352558,1
153049,350040,1
151645,344332,1
149937,346543,1
149890,350677,1
147476,352247,1
153221,351779,1
149579,348030,1
147740,356836,1
154273,350655,1
149289,352652,1
148137,348506,1
149071,346399,1
147319,351888,1
146458,352911,1
157988,356532,1
155235,348859,1
150973,344975,1
146025,354691,1
147263,350557,1
149442,346398,1
152503,348491,1
145788,347034,1
142632,352916,1
145418,351405,1
151055,350869,1
151238,350880,1
151428,347558,1
149588,353084,1
150581,351148,1
148494,349028,1
152726,349691,1
145694,349249,1
151439,347353,1
147316,352064,1
148941,354275,1
151748,357959,1
153286,351914,1
146466,347059,1
153987,351031,1
152088,347040,1
149785,348049,1
149383,347865,1
149312,347309,1
149041,351094,1
150073,346498,1
150162,352116,1
152612,352764,1
154829,353747,1
151477,350083,1
149337,351881,1
151977,355871,1
150579,350225,1
146744,349115,1
153002,355877,1
150971,342203,1
150427,348606,1
151629,357810,1
150827,348599,1
147023,347939,1
149487,346090,1
149538,352449,1
148318,343193,1
155319,348017,1
147231,351507,1
148470,349842,1
147748,351738,1
146287,350027,1
149392,352082,1
149133,345863,1
154839,351170,1
149213,344992,1
146635,352128,1
155071,349530,1
153904,352452,1
149274,348236,1
145237,350558,1
148594,353176,1
149507,343722,1
150873,344212,1
149174,344152,1
151402,352810,1
151239,351399,1
146045,347394,1
147002,354417,1
147656,350199,1
148394,344847,1
148986,346692,1
150039,345645,1
140421,352047,1
148555,347964,1
153929,346706,1
146627,347847,1
152953,347664,1
151108,352795,1
149908,351493,1
150577,351009,1
145051,350813,1
149733,350108,1
155072,347522,1
150311,351735,1
150131,347429,1
147678,346395,1
149903,346611,1
150735,352809,1
151348,353222,1
148821,344348,1
149252,349459,1
156399,351433,1
142858,347365,1
157050,353099,1
151067,350907,1
153162,349835,1
144737,347720,1
148134,351944,1
149121,352584,1
151337,351610,1
144718,348717,1
151491,353047,1
146165,346763,1
150209,350475,1
152063,354600,1
151034,349507,1
153424,347687,1
153181,356433,1
147942,349017,1
150813,351471,1
147014,347173,1
145820,350487,1
152925,351762,1
150000,350014,1
149826,351009,1
152881,354078,1
151880,345770,1
151107,350758,1
153954,344130,1
152940,350383,1
150758,356150,1
147817,352743,1
147940,349772,1
153770,349313,1
144903,351152,1
149923,353318,1
143837,349430,1
153227,355403,1
152725,347705,1
150004,343715,1
149776,347623,1
142138,348587,1
151838,349011,1
143067,346641,1
142666,353474,1
150253,344940,1
147001,348153,1
151301,347080,1
152141,348722,1
152712,348175,1
147814,351287,1
151421,346866,1
150318,347450,1
152612,350579,1
151695,353580,1
152839,344449,1
149583,355621,1
149535,347190,1
153187,352357,1
143284,352631,1
148404,354003,1
145982,347970,1
148790,349956,1
152051,349694,1
152611,348355,1
146790,350534,1
148510,350979,1
150433,348935,1
149077,350324,1
150954,358508,1
151265,350103,1
147059,351941,1
149441,348489,1
143258,347665,1
153622,349274,1
148011,351577,1
146193,347097,1
149197,344090,1
145482,349716,1
149934,348620,1
148227,350704,1
156887,350955,1
153600,352654,1
142104,352045,1
151396,345969,1
145579,344761,1
149193,351500,1
150520,351016,1
152365,347281,1
149137,353807,1
154985,350602,1
148479,350237,1
151036,350965,1
152102,352583,1
150269,354824,1
152786,349454,1
151022,344657,1
147520,352941,1
144291,346510,1
155877,354501,1
148088,347954,1
150327,354726,1
151781,347642,1
150359,346535,1
147139,352725,1
148521,345563,1
149605,352102,1
154677,351845,1
147278,349277,1
152481,349174,1
150976,356572,1
149260,348748,1
146658,349067,1
149101,346956,1
149726,347413,1
145353,347699,1
150608,355440,1
147400,348512,1
149702,347799,1
151063,348696,1
147139,351962,1
149088,345769,1
151107,352084,1
144195,345231,1
153276,349916,1
157667,345018,1
153034,351990,1
149001,352080,1
151355,347972,1
146724,350672,1
155938,351106,1
152975,353945,1
152490,350653,1
147230,352994,1
151012,349734,1
148235,347784,1
149015,349782,1
148197,349193,1
146756,352450,1
147126,349536,1
149336,347287,1
144628,348976,1
151921,353932,1
149627,348657,1
152211,348149,1
150853,353181,1
151563,350475,1
145310,348390,1
146774,347353,1
148586,345202,1
150347,350517,1
153569,349359,1
149083,350912,1
153989,345816,1
151503,354309,1
153713,351904,1
150401,345111,1
147923,353118,1
145315,347683,1
150492,351000,1
152588,350949,1
149075,347144,1
148290,340826,1
149024,351587,1
146532,348577,1
148441,347963,1
149428,351261,1
150145,347844,1
149798,352092,1
151933,350668,1
150346,346915,1
155736,353207,1
150987,351592,1
155706,354510,1
147713,346963,1
151665,347350,1
149177,350904,1
151898,352289,1
151878,352793,1
143087,349329,1
145804,348838,1
145443,351598,1
151271,356308,1
154649,353248,1
148967,350163,1
152569,348449,1
151725,351745,1
146674,348144,1
151257,350876,1
147622,352211,1
154795,353388,1
149897,351840,1
155173,354853,1
148656,355690,1
151864,344216,1
149801,344384,1
143606,346458,1
146894,343403,1
151937,349070,1
149826,348924,1
146462,350434,1
148019,350702,1
150789,347920,1
146860,347127,1
153083,352805,1
147974,348596,1
155720,346258,1
146585,349691,1
150630,350705,1
145190,348226,1
147712,351859,1
148124,350523,1
151269,349457,1
152979,350159,1
150950,351537,1
148820,348493,1
152579,346939,1
152526,349763,1
150380,350444,1
151806,351784,1
151305,350036,1
146879,348249,1
152402,352117,1
147922,349435,1
148090,352348,1
150560,349773,1
