,CluStream,DenStream,BIRCH,StreamKM,GT
0,0.0,0.0,0.0,2.0,0.0
1,0.0,0.0,0.0,2.0,50.0
2,0.0,0.0,0.0,2.0,49.0
3,0.0,0.0,0.0,0.0,47.0
4,0.0,0.0,0.0,2.0,46.0
5,2.0,1.0,0.0,0.0,45.0
6,0.0,0.0,0.0,2.0,44.0
7,3.0,2.0,1.0,1.0,43.0
8,2.0,1.0,2.0,3.0,42.0
9,0.0,0.0,0.0,2.0,41.0
10,0.0,0.0,0.0,0.0,40.0
11,0.0,0.0,0.0,2.0,39.0
12,1.0,1.0,2.0,3.0,38.0
13,0.0,0.0,0.0,0.0,37.0
14,0.0,0.0,0.0,0.0,36.0
15,1.0,1.0,2.0,3.0,35.0
16,1.0,2.0,1.0,1.0,34.0
17,0.0,0.0,0.0,0.0,33.0
18,0.0,0.0,0.0,2.0,32.0
19,2.0,1.0,2.0,3.0,31.0
20,0.0,0.0,0.0,2.0,30.0
21,0.0,0.0,0.0,2.0,29.0
22,0.0,0.0,0.0,2.0,28.0
23,2.0,1.0,2.0,3.0,27.0
24,0.0,0.0,0.0,2.0,26.0
25,0.0,0.0,0.0,0.0,25.0
26,2.0,1.0,0.0,0.0,24.0
27,0.0,0.0,0.0,0.0,48.0
28,2.0,1.0,0.0,0.0,3.0
29,2.0,1.0,0.0,0.0,18.0
30,0.0,0.0,0.0,0.0,23.0
31,2.0,1.0,2.0,3.0,22.0
32,0.0,0.0,0.0,2.0,21.0
33,0.0,0.0,0.0,0.0,20.0
34,0.0,0.0,0.0,0.0,19.0
35,2.0,1.0,0.0,0.0,17.0
36,0.0,0.0,0.0,0.0,16.0
37,2.0,1.0,2.0,3.0,15.0
38,0.0,0.0,0.0,2.0,13.0
39,0.0,0.0,0.0,2.0,12.0
40,2.0,1.0,2.0,3.0,14.0
41,2.0,1.0,2.0,3.0,10.0
42,3.0,2.0,1.0,1.0,9.0
43,0.0,0.0,0.0,2.0,8.0
44,0.0,0.0,0.0,2.0,7.0
45,0.0,0.0,0.0,0.0,6.0
46,0.0,0.0,0.0,0.0,5.0
47,3.0,2.0,1.0,1.0,4.0
48,0.0,0.0,0.0,0.0,2.0
49,2.0,1.0,0.0,0.0,1.0
50,0.0,0.0,0.0,2.0,11.0
51,0.0,0.0,0.0,0.0,37.0
52,1.0,2.0,1.0,1.0,34.0
53,1.0,1.0,2.0,3.0,35.0
